,Text,Text_Tag,Barely-True,False,Half-True,Mostly-True,Not-Known,True
0,Says the Annies List political group supports third-trimester abortions on demand.,abortion,0,1,0,0,0,0
1,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,"energy,history,job-accomplishments",0,0,1,0,0,0
2,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",foreign-policy,0,0,0,1,0,0
3,Health care reform legislation is likely to mandate free sex change surgeries.,health-care,0,1,0,0,0,0
4,The economic turnaround started at the end of my term.,"economy,jobs",0,0,1,0,0,0
5,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,education,0,0,0,0,0,1
6,Jim Dunnam has not lived in the district he represents for years now.,candidates-biography,1,0,0,0,0,0
7,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",ethics,0,0,1,0,0,0
8,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",jobs,0,0,1,0,0,0
9,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,"energy,message-machine-2014,voting-record",0,0,0,1,0,0
10,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",elections,0,0,0,1,0,0
11,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.","economy,jobs,new-hampshire-2012,poverty",0,0,1,0,0,0
12,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.","history,state-budget",0,1,0,0,0,0
13,The economy bled $24 billion due to the government shutdown.,"economy,federal-budget,health-care",0,0,0,1,0,0
14,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,health-care,1,0,0,0,0,0
15,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",elections,0,0,1,0,0,0
16,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,federal-budget,0,0,0,0,0,1
17,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",federal-budget,1,0,0,0,0,0
18,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.","financial-regulation,foreign-policy,water",0,0,1,0,0,0
19,"Almost 100,000 people left Puerto Rico last year.","bankruptcy,economy,population",0,0,0,1,0,0
20,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,"economy,income",0,1,0,0,0,0
21,The United States has the highest corporate tax rate in the free world.,"corporations,taxes",0,0,0,1,0,0
22,We just had the best year for the auto industry in America in history.,economy,0,0,0,1,0,0
23,"Says Scott Walker favors cutting up to 350,000 families and children off health care.","health-care,message-machine",0,0,1,0,0,0
24,Says Mitt Romney wants to get rid of Planned Parenthood.,"abortion,federal-budget,health-care",1,0,0,0,0,0
25,I dont know who (Jonathan Gruber) is.,health-care,0,1,0,0,0,0
26,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,"crime,diversity,homeland-security,terrorism",0,0,0,1,0,0
27,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,candidates-biography,0,0,1,0,0,0
28,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.","technology,terrorism",0,1,0,0,0,0
29,Youth unemployment in minority communities is about 40 to 45 percent.,"diversity,economy,jobs",0,0,0,1,0,0
